Source,Target,combined_score,from_ALS,from_FTD
TARDBP,GRN,0.958,NO,YES
TARDBP,TUBA4A,0.533,NO,YES
TARDBP,PSEN2,0.634,NO,YES
TARDBP,PSEN1,0.702,NO,YES
TARDBP,CHCHD10,0.715,NO,YES
TARDBP,TBK1,0.73,NO,YES
TARDBP,DCTN1,0.791,NO,YES
TARDBP,CCNF,0.818,NO,YES
TARDBP,CHMP2B,0.852,NO,YES
TARDBP,APP,0.881,NO,YES
TARDBP,TIA1,0.927,NO,YES
TARDBP,C9orf72,0.943,NO,YES
TARDBP,SQSTM1,0.95,NO,YES
TARDBP,VCP,0.964,NO,YES
TARDBP,UBQLN2,0.968,NO,YES
TARDBP,MAPT,0.97,NO,YES
TARDBP,HNRNPA1,0.997,NO,YES
TARDBP,HNRNPA2B1,0.998,NO,YES
TBK1,GRN,0.442,NO,YES
TBK1,TARDBP,0.73,NO,YES
TBK1,TUBA4A,0.496,NO,YES
TBK1,CHMP2B,0.727,NO,YES
TBK1,HNRNPA1,0.406,NO,YES
TBK1,MAPT,0.452,NO,YES
TBK1,DCTN1,0.456,NO,YES
TBK1,CCNF,0.474,NO,YES
TBK1,CHCHD10,0.608,NO,YES
TBK1,VCP,0.692,NO,YES
TBK1,HNRNPA2B1,0.77,NO,YES
TBK1,UBQLN2,0.797,NO,YES
TBK1,C9orf72,0.881,NO,YES
TBK1,SQSTM1,0.995,NO,YES
TIA1,TARDBP,0.927,NO,YES
TIA1,MAPT,0.878,NO,YES
TIA1,HNRNPA1,0.716,NO,YES
TIA1,UBQLN2,0.645,NO,YES
TIA1,HNRNPA2B1,0.716,NO,YES
TIA1,VCP,0.483,NO,YES
TIA1,SQSTM1,0.4,NO,YES
TIA1,CHCHD10,0.425,NO,YES
TIA1,C9orf72,0.578,NO,YES
TUBA4A,TARDBP,0.533,NO,YES
TUBA4A,SQSTM1,0.419,NO,YES
TUBA4A,HNRNPA1,0.429,NO,YES
TUBA4A,APP,0.486,NO,YES
TUBA4A,TBK1,0.496,NO,YES
TUBA4A,CCNF,0.511,NO,YES
TUBA4A,C9orf72,0.57,NO,YES
TUBA4A,DCTN1,0.6,NO,YES
TUBA4A,UBQLN2,0.612,NO,YES
TUBA4A,VCP,0.618,NO,YES
TUBA4A,CHCHD10,0.623,NO,YES
TUBA4A,CHMP2B,0.705,NO,YES
TUBA4A,MAPT,0.981,NO,YES
UBQLN2,GRN,0.615,NO,YES
UBQLN2,TARDBP,0.968,NO,YES
UBQLN2,TUBA4A,0.612,NO,YES
UBQLN2,CHMP2B,0.775,NO,YES
UBQLN2,APP,0.606,NO,YES
UBQLN2,PSEN1,0.7,NO,YES
UBQLN2,TBK1,0.797,NO,YES
UBQLN2,MAPT,0.653,NO,YES
UBQLN2,HNRNPA1,0.852,NO,YES
UBQLN2,PSEN2,0.497,NO,YES
UBQLN2,TIA1,0.645,NO,YES
UBQLN2,HNRNPA2B1,0.657,NO,YES
UBQLN2,CCNF,0.665,NO,YES
UBQLN2,DCTN1,0.684,NO,YES
UBQLN2,CHCHD10,0.706,NO,YES
UBQLN2,SQSTM1,0.794,NO,YES
UBQLN2,C9orf72,0.871,NO,YES
UBQLN2,VCP,0.938,NO,YES
VCP,GRN,0.762,NO,YES
VCP,TARDBP,0.964,NO,YES
VCP,TUBA4A,0.618,NO,YES
VCP,CHMP2B,0.858,NO,YES
VCP,APP,0.652,NO,YES
VCP,PSEN1,0.489,NO,YES
VCP,TBK1,0.692,NO,YES
VCP,MAPT,0.713,NO,YES
VCP,HNRNPA1,0.692,NO,YES
VCP,UBQLN2,0.938,NO,YES
VCP,HNRNPA2B1,0.679,NO,YES
VCP,PSEN2,0.45,NO,YES
VCP,TIA1,0.483,NO,YES
VCP,CHCHD10,0.714,NO,YES
VCP,CCNF,0.759,NO,YES
VCP,C9orf72,0.856,NO,YES
VCP,SQSTM1,0.884,NO,YES
VCP,DCTN1,0.899,NO,YES
C9orf72,TARDBP,0.943,NO,YES
C9orf72,FUS,0.929,NO,YES
C9orf72,CHMP2B,0.848,NO,YES
C9orf72,UBQLN2,0.871,NO,YES
C9orf72,VCP,0.856,NO,YES
CHMP2B,TARDBP,0.852,NO,YES
CHMP2B,FUS,0.78,NO,YES
CHMP2B,UBQLN2,0.775,NO,YES
CHMP2B,C9orf72,0.848,NO,YES
CHMP2B,VCP,0.858,NO,YES
FUS,TARDBP,0.999,NO,YES
FUS,CHMP2B,0.78,NO,YES
FUS,VCP,0.832,NO,YES
FUS,C9orf72,0.929,NO,YES
FUS,UBQLN2,0.952,NO,YES
TARDBP,CHMP2B,0.852,NO,YES
TARDBP,C9orf72,0.943,NO,YES
TARDBP,VCP,0.964,NO,YES
TARDBP,UBQLN2,0.968,NO,YES
TARDBP,FUS,0.999,NO,YES
