Species A,Gene A,Species B,Gene B,Score
Homo sapiens,COX5B,Homo sapiens,PDSS2,0.997777066
Homo sapiens,COX5B,Homo sapiens,COX7A2L,0.995818888
Homo sapiens,COX6A1,Homo sapiens,COX5B,0.972827398
Homo sapiens,COX5B,Homo sapiens,ALAS1,0.981863189
Homo sapiens,COX5B,Homo sapiens,C6orf62,0.993467401
Homo sapiens,COX5B,Homo sapiens,ALDH6A1,0.999958197
Homo sapiens,COX5B,Homo sapiens,NDUFAF5,0.826258331
Homo sapiens,COX5B,Homo sapiens,SPATA20,0.925223108
Homo sapiens,COX5B,Homo sapiens,EPDR1,0.998230688
Homo sapiens,COX5B,Homo sapiens,CMC2,0.994464352
Homo sapiens,COA3,Homo sapiens,COX5B,0.945657319
Homo sapiens,COX5B,Homo sapiens,AUH,0.999661107
Homo sapiens,COX5B,Homo sapiens,POLG,0.823065724
Homo sapiens,COX7A1,Homo sapiens,COX5B,0.976002352
Homo sapiens,COX5B,Homo sapiens,DBT,0.886464139
Homo sapiens,COX5B,Homo sapiens,NDUFS6,0.857542795
Homo sapiens,COX7B2,Homo sapiens,COX5B,0.753528317
Homo sapiens,FFAR1,Homo sapiens,COX5B,0.918006196
Homo sapiens,DPP4,Homo sapiens,COX5B,0.98
Homo sapiens,CDK5,Homo sapiens,COX5B,0.88475578
Homo sapiens,SLC25A13,Homo sapiens,COX5B,0.898463338
Homo sapiens,MFSD10,Homo sapiens,COX5B,0.999041925
Homo sapiens,MFSD5,Homo sapiens,COX5B,0.793964495
Homo sapiens,SLC16A8,Homo sapiens,COX5B,0.655363358
Homo sapiens,SLC30A5,Homo sapiens,COX5B,0.484332102
Homo sapiens,SLC35B1,Homo sapiens,COX5B,0.833803106
Homo sapiens,SLC35B2,Homo sapiens,COX5B,0.409492758
Homo sapiens,SLC35C2,Homo sapiens,COX5B,0.553985598
Homo sapiens,SLC35E3,Homo sapiens,COX5B,0.689045934
Homo sapiens,SLC35G1,Homo sapiens,COX5B,0.971150112
Homo sapiens,NDUFA4,Homo sapiens,COX7C,99.8
Homo sapiens,C15orf48,Homo sapiens,COX7C,99.4
Homo sapiens,COX7C,Homo sapiens,EIF3C,3.747045557
Homo sapiens,COX7C,Homo sapiens,PGK1,-3.586558042
Homo sapiens,COX7C,Homo sapiens,SKA3,3.776786634
Homo sapiens,COX7C,Homo sapiens,BCAP31,1.776034526
Homo sapiens,CYB5A,Homo sapiens,COX7C,1.713097334
Homo sapiens,NDUFB10,Homo sapiens,COX7C,1.709136592
Homo sapiens,VAPB,Homo sapiens,COX7C,1.708515919
Homo sapiens,ATP5H,Homo sapiens,COX7C,1.646192905
Homo sapiens,COX7C,Homo sapiens,COX5A,1.633807674
Homo sapiens,COX7C,Homo sapiens,PHB,1.63141696
Homo sapiens,COX7C,Homo sapiens,ATP5F1,1.603011901
Homo sapiens,COX7C,Homo sapiens,SLC25A24,1.601716501
Homo sapiens,COX7C,Homo sapiens,NDUFB9,1.5989961
Homo sapiens,COX4I1,Homo sapiens,COX7C,1.588963121
Homo sapiens,COX6A1,Homo sapiens,COX7C,1.57922116
Homo sapiens,NDUFB5,Homo sapiens,COX7C,1.574724662
Homo sapiens,COX7C,Homo sapiens,PHB2,1.562075083
Homo sapiens,COX7C,Homo sapiens,ATP5O,1.559098537
Homo sapiens,COX7C,Homo sapiens,NIPSNAP1,1.542131582
Homo sapiens,NDUFS4,Homo sapiens,COX7C,1.527672131
Homo sapiens,COX7C,Homo sapiens,OCIAD1,1.517387132
Homo sapiens,GBAS,Homo sapiens,COX7C,1.509404214
Homo sapiens,COX7C,Homo sapiens,COA3,1.500899931
Homo sapiens,COX7C,Homo sapiens,SEC61B,1.498769888
Homo sapiens,FKBP9,Homo sapiens,COX7C,1.488851831
Homo sapiens,COX7C,Homo sapiens,PAM16,1.479348964
Homo sapiens,COX7C,Homo sapiens,COX7B,1.469270764
Homo sapiens,ANKRD34C,Homo sapiens,COX7C,1.475388658
Homo sapiens,ATP5B,Homo sapiens,COX7C,1.579407163
